id,name,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,square_feet,price,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,reviews_per_month
241032,Stylish Queen Anne Apartment,within a few hours,96%,100%,f,Queen Anne,3,t,t,Queen Anne,47.63628904,-122.3710252,Apartment,Entire home/apt,4,1,1,1,Real Bed,"{TV"", ""Cable TV"", ""Internet"", ""Wireless Internet"", ""Air Conditioning"", ""Kitchen"", ""Heating"", ""Family/Kid Friendly"", ""Washer"", ""Dryer}",,$85.00,2,$5.00,1,365,207,95,10,10,10,10,9,10,f,moderate,f,f,2,4.07
953595,Bright & Airy Queen Anne Apartment,within an hour,98%,100%,t,Queen Anne,6,t,t,Queen Anne,47.63912312,-122.3656665,Apartment,Entire home/apt,4,1,1,1,Real Bed,"{TV"", ""Internet"", ""Wireless Internet"", ""Kitchen"", ""Free Parking on Premises"", ""Buzzer/Wireless Intercom"", ""Heating"", ""Family/Kid Friendly"", ""Washer"", ""Dryer"", ""Smoke Detector"", ""Carbon Monoxide Detector"", ""First Aid Kit"", ""Safety Card"", ""Fire Extinguisher"", ""Essentials}",,$150.00,1,$0.00,2,90,43,96,10,10,10,10,10,10,f,strict,t,t,6,1.48
3308979,New Modern House-Amazing water view,within a few hours,67%,100%,f,Queen Anne,2,t,t,Queen Anne,47.62972413,-122.3694832,House,Entire home/apt,11,4.5,5,7,Real Bed,"{TV"", ""Cable TV"", ""Internet"", ""Wireless Internet"", ""Air Conditioning"", ""Kitchen"", ""Free Parking on Premises"", ""Pets Allowed"", ""Pets live on this property"", ""Dog(s)"", ""Cat(s)"", ""Hot Tub"", ""Indoor Fireplace"", ""Heating"", ""Family/Kid Friendly"", ""Washer"", ""Dryer"", ""Smoke Detector"", ""Carbon Monoxide Detector"", ""Essentials"", ""Shampoo}",,$975.00,10,$25.00,4,30,20,97,10,10,10,10,10,10,f,strict,f,f,2,1.15
7421966,Queen Anne Chateau,N/A,N/A,N/A,f,Queen Anne,1,t,t,Queen Anne,47.6384732,-122.3692791,Apartment,Entire home/apt,3,1,0,2,Real Bed,"{Internet"", ""Wireless Internet"", ""Kitchen"", ""Indoor Fireplace"", ""Heating"", ""Family/Kid Friendly"", ""Washer"", ""Dryer"", ""Smoke Detector"", ""Carbon Monoxide Detector"", ""Safety Card"", ""Fire Extinguisher"", ""Essentials"", ""Shampoo}",,$100.00,1,$0.00,1,1125,0,,,,,,,,f,flexible,f,f,1,
278830,Charming craftsman 3 bdm house,within an hour,100%,N/A,f,Queen Anne,2,t,t,Queen Anne,47.6329184,-122.3724706,House,Entire home/apt,6,2,3,3,Real Bed,"{TV"", ""Cable TV"", ""Internet"", ""Wireless Internet"", ""Kitchen"", ""Heating"", ""Family/Kid Friendly"", ""Smoke Detector"", ""Carbon Monoxide Detector"", ""First Aid Kit"", ""Fire Extinguisher"", ""Essentials"", ""Shampoo}",,$450.00,6,$15.00,1,1125,38,92,9,9,10,10,9,9,f,strict,f,f,1,0.89
5956968,Private unit in a 1920s mansion,N/A,N/A,N/A,f,Queen Anne,1,t,t,Queen Anne,47.63052548,-122.3661741,House,Private room,2,1,1,1,Real Bed,"{Wireless Internet"", ""Free Parking on Premises"", ""Heating"", ""Smoke Detector"", ""Essentials"", ""Shampoo}",,$120.00,1,$30.00,1,6,17,95,10,10,10,10,10,10,f,strict,f,f,1,2.45
1909058,Queen Anne Private Bed and Bath,within an hour,100%,100%,t,Queen Anne,1,t,t,Queen Anne,47.63660545,-122.3685191,House,Private room,2,1,1,1,Real Bed,"{Wireless Internet"", ""Free Parking on Premises"", ""Heating"", ""Smoke Detector"", ""First Aid Kit"", ""Essentials"", ""Shampoo}",,$80.00,1,$10.00,3,14,58,99,10,10,10,10,10,10,f,moderate,f,f,1,2.46
856550,Tiny Garden cabin on Queen Anne  ,within an hour,100%,100%,t,Queen Anne,5,t,t,Queen Anne,47.64016054,-122.375856,Cabin,Private room,2,1,1,1,Real Bed,"{Wireless Internet"", ""Pets live on this property"", ""Dog(s)"", ""Heating"", ""Family/Kid Friendly"", ""Essentials"", ""Shampoo}",,$60.00,1,$0.00,2,7,173,97,10,10,10,10,9,10,f,strict,t,t,5,4.73
4948745,Urban Charm || Downtown || Views,N/A,N/A,100%,f,Queen Anne,1,t,t,Queen Anne,47.6324103,-122.3572161,Apartment,Private room,2,1,1,1,Real Bed,"{TV"", ""Cable TV"", ""Internet"", ""Wireless Internet"", ""Kitchen"", ""Breakfast"", ""Indoor Fireplace"", ""Heating"", ""Washer"", ""Dryer"", ""Smoke Detector"", ""First Aid Kit"", ""Fire Extinguisher"", ""Essentials"", ""Shampoo}",,$90.00,1,$0.00,3,1125,8,97,10,9,10,9,10,10,f,strict,f,f,1,1.22
2493658,Airy + Bright Queen Anne Apartment,within an hour,98%,100%,t,Queen Anne,6,t,t,Queen Anne,47.63749172,-122.3668886,Apartment,Entire home/apt,4,1,1,1,Real Bed,"{TV"", ""Internet"", ""Wireless Internet"", ""Kitchen"", ""Free Parking on Premises"", ""Buzzer/Wireless Intercom"", ""Heating"", ""Family/Kid Friendly"", ""Washer"", ""Dryer"", ""Smoke Detector"", ""Carbon Monoxide Detector"", ""First Aid Kit"", ""Safety Card"", ""Fire Extinguisher"", ""Essentials}",,$150.00,1,$0.00,2,365,32,97,10,10,10,10,10,9,f,strict,t,t,6,1.55
